strategy,capital_wan,N_universe,net_oos_sharpe,net_oos_ret,net_oos_vol,net_oos_dd,avg_active,eff_ratio,avg_margin_util,max_margin_util,budget_hit_pct
Pool_filtered_19,10,19,0.3105368809223673,0.0037088309809088288,0.011943286639231809,-0.016588702564159896,0.34800550206327374,0.018316079055961776,0.006428247592847318,0.020112,0.0
Pool_filtered_19,30,19,0.13448586150252118,0.005278320792152829,0.0392481464830701,-0.06804126127240018,3.823933975240715,0.20125968290740606,0.03819594497936727,0.09077000000000002,0.0
Pool_filtered_19,50,19,0.2588611852806987,0.010275618272480339,0.039695477177614985,-0.06374451920281943,5.8500687757909215,0.3078983566205748,0.04788887565337001,0.1214655,0.0
Pool_filtered_19,100,19,0.18133716542235445,0.007286818594157042,0.04018381216660815,-0.07780334098102137,8.554332874828061,0.4502280460435822,0.06519789944979368,0.1176147,0.0
Pool_filtered_19,300,19,0.8798835914524222,0.042617120424837764,0.04843495303110467,-0.054212815915493984,11.486932599724897,0.6045753999855209,0.08138257292526364,0.14297668333333333,0.0
Pool_filtered_19,1000,19,1.062029760042074,0.0557984422820596,0.05253943381007426,-0.052604898320944726,12.986244841815681,0.683486570621878,0.08828633050206326,0.15286274000000002,0.0
Pool_on_14,10,14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pool_on_14,30,14,0.15934620448221654,0.006484126882048514,0.04069206984325855,-0.06644425968175938,2.9422283356258596,0.21015916683041855,0.027905399816597887,0.078695,0.0
Pool_on_14,50,14,0.4449116227672892,0.016969923162129186,0.03814223385889223,-0.053426278333801425,3.9105914718019257,0.27932796227156614,0.038566870701513066,0.1171161,0.0
Pool_on_14,100,14,0.40079555733097727,0.017903529098505212,0.04466997892324556,-0.06352846802151424,6.096286107290234,0.43544900766358813,0.05731569023383768,0.1144954,0.0
Pool_on_14,300,14,0.5655925823152164,0.029309940842465135,0.05182164999846144,-0.06829913651213837,7.3865199449793675,0.5276085674985262,0.06392895880330124,0.13864520000000002,0.0
Pool_on_14,1000,14,0.5732188022051355,0.02997516811012811,0.052292716140530604,-0.07068039938091697,8.042640990371389,0.5744743564550993,0.06705374,0.1375066,0.0
