group,symbols,wealth_contribution_x,contribution_share
BTC_ETH,"BTCUSDT, ETHUSDT",0.7966556366760114,0.12044408103817973
BTC_ETH_BNB_SOL,"BTCUSDT, ETHUSDT, BNBUSDT, SOLUSDT",2.2986374645133174,0.34752440616425584
NON_CORE_REST,"TRXUSDT, AVAXUSDT, XRPUSDT, ADAUSDT, NEARUSDT, UNIUSDT, DOGEUSDT, LINKUSDT, AAVEUSDT, LTCUSDT",4.315682058780472,0.6524755938357444
