metric,value
gross_final_equity,7.614319523293777
net_final_equity,7.323140501056406
gross_profit_x,6.614319523293777
net_cost_drag_x,-0.2911790222373716
top1_share_of_profit,0.12594866664114976
top3_share_of_profit,0.35302899176722585
top5_share_of_profit,0.5630955727035482
top6_share_of_profit,0.6639887082903545
effective_positive_count,10.962848139948427
negative_symbol_count,2.0
max_drawdown,-0.24962082626378435
