symbol,drawdown_contribution
BTCUSDT,-0.005216339411746997
ETHUSDT,-0.019242647666467185
SOLUSDT,-0.02506239697066525
XRPUSDT,-0.04781165817054733
DOGEUSDT,-0.04434042127927518
BNBUSDT,-0.02196648662069494
TRXUSDT,-0.008340034695709927
ADAUSDT,-0.011391711185343403
LINKUSDT,-0.023775203608003524
AVAXUSDT,0.007369559983064537
NEARUSDT,0.005534868160138878
LTCUSDT,-0.014870607909034777
AAVEUSDT,-0.027049259816557487
UNIUSDT,-0.013458487072941156
