pool,label,year,cagr,sharpe,mdd,calmar,vol,final
BTC_ONLY,BTC only,2020,1.728246681558228,2.627792949753221,-0.17427386567848346,9.916843669185932,0.4134695551557077,2.728246681558228
BTC_ONLY,BTC only,2021,0.22673699300137962,0.7474810040349302,-0.2643628595239287,0.8576734016635065,0.35850030903470514,1.2260503543764343
BTC_ONLY,BTC only,2022,-0.06546481363831613,-1.3179363514130782,-0.07331823545433458,-0.8928858316440272,0.05025701707010713,0.9347085548777561
BTC_ONLY,BTC only,2023,0.6143251490887909,1.7171829380845693,-0.11462130134286186,5.359607175032728,0.3048728533119586,1.6122083798387552
BTC_ONLY,BTC only,2024,0.7695572874366134,1.71913471597196,-0.2677827040140418,2.873812520005997,0.3708893955179757,1.7695572874366134
BTC_ONLY,BTC only,2025,-0.12071828705299059,-0.6027909550336963,-0.18763457136638928,-0.6433691092952537,0.18444223999349357,0.879591684118011
BTC_ONLY,BTC only,2026,0.0,0.0,0.0,0.0,0.0,1.0
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2020,0.8140132271400553,2.344341853900907,-0.14178136171150568,5.7413274729043415,0.2691017255375163,1.8140132271400553
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2021,2.651622889690203,3.280977018578398,-0.13042039580959086,20.331351344474356,0.4204627963252181,3.6386883761289015
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2022,-0.10828361280835208,-1.0661177777176916,-0.13718844156404664,-0.7893056555919815,0.10222365136983254,0.8919964231331864
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2023,0.3999723086604712,1.5482127249043707,-0.14764152226770177,2.709077382277638,0.23450043656184258,1.3986824262017339
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2024,0.4863024188486389,1.4892309399051957,-0.23561013695280209,2.0640131411071505,0.29463563143172977,1.486302418848639
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2025,0.00280921878214091,0.10000430289516063,-0.10105757574198437,0.02779820079311303,0.16540134681628693,1.0028015115214917
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,2026,-0.019943019354610847,-0.6256459052699282,-0.02217174104817654,-0.8994791753736007,0.031197494945814967,0.9922483271414108
POOL12_DROP_LTC_AAVE,12 coin pool,2020,0.6471415424037117,2.4129592639106945,-0.10068963288150135,6.427092083703528,0.21601204814921096,1.6471415424037117
POOL12_DROP_LTC_AAVE,12 coin pool,2021,1.9349140197553973,3.5990417920218074,-0.11671009061998128,16.578806592273622,0.31217492507027456,2.9262693573628353
POOL12_DROP_LTC_AAVE,12 coin pool,2022,-0.10129567980776877,-1.8818276147600812,-0.11038578250880748,-0.917651508242799,0.05576048646755101,0.8989673249627176
POOL12_DROP_LTC_AAVE,12 coin pool,2023,0.4551582661592404,1.8456992176292781,-0.09217013115392181,4.93824040891444,0.21526120199950152,1.4536635515887804
POOL12_DROP_LTC_AAVE,12 coin pool,2024,0.6975470932358852,1.9892015281548163,-0.20177657861786924,3.4570270643597416,0.28598896305940114,1.6975470932358852
POOL12_DROP_LTC_AAVE,12 coin pool,2025,-0.0419246055689978,-0.2999567824742142,-0.09692627811261334,-0.43254116825045,0.11881620904013093,0.9581878208174529
POOL12_DROP_LTC_AAVE,12 coin pool,2026,0.04802307083445889,1.8575307917399917,-0.013078816553117822,3.6718208134061494,0.025245726057332947,1.0182848552075592
