strategy,label,role,period,ann_return,cumulative_return,max_drawdown,worst_12m,sharpe,calmar,observations
baseline_p10_50_smallest100,current p10-50 lower-edge,current,full_sample,0.3072190705431266,80.19416675979525,-0.6696619614956734,-0.5935958099734019,0.9696431554464798,0.4587673904262987,5101
baseline_p10_50_smallest100,current p10-50 lower-edge,current,ex_2008,0.36007563146069455,154.89096292226267,-0.5674669462437438,-0.4531635687626596,1.1996847748035484,0.6345314627471385,4855
baseline_p10_50_smallest100,current p10-50 lower-edge,current,2008,-0.40289866430554544,-0.47916052837338396,-0.6696619614956729,,-0.7327758911245799,-0.6016448409368833,246
baseline_p10_50_smallest100,current p10-50 lower-edge,current,2014-2015,1.2100973967185658,3.1450114377449196,-0.44789728882930346,0.6127969223619181,3.493175688880942,2.701729675304513,489
baseline_p10_50_smallest100,current p10-50 lower-edge,current,2016-2018,-0.15782751758811864,-0.46296989452564463,-0.5674669462437434,-0.4531635687626596,-0.5456473305354069,-0.278126362483018,731
baseline_p10_50_smallest100,current p10-50 lower-edge,current,2022-2025,0.24660303630996427,0.9515720625009461,-0.43944585907514344,-0.3397737548347387,0.812759503366398,0.5611681876556178,969
p10_20_top100,p10-20,small,full_sample,0.3068028360634054,79.73816467495452,-0.6696619614956731,-0.5935958099734019,0.9687100582646697,0.4581458313358116,5101
p10_20_top100,p10-20,small,ex_2008,0.3596206988847095,154.01544923775504,-0.5674669462437432,-0.4531635687626596,1.1987198144993412,0.6337297727474019,4855
p10_20_top100,p10-20,small,2008,-0.40289866430554544,-0.47916052837338396,-0.6696619614956729,,-0.7327758911245799,-0.6016448409368833,246
p10_20_top100,p10-20,small,2014-2015,1.2100973967185658,3.1450114377449196,-0.44789728882930346,0.6127969223619181,3.493175688880942,2.701729675304513,489
p10_20_top100,p10-20,small,2016-2018,-0.15782751758811864,-0.46296989452564463,-0.5674669462437434,-0.4531635687626596,-0.5456473305354069,-0.278126362483018,731
p10_20_top100,p10-20,small,2022-2025,0.24660303630996427,0.9515720625009461,-0.43944585907514344,-0.3397737548347387,0.812759503366398,0.5611681876556178,969
p20_30_top100,p20-30,small_mid,full_sample,0.2756697674078561,50.090012972985015,-0.6993699734210703,-0.63302069496404,0.8837871437469167,0.3941687202545702,5101
p20_30_top100,p20-30,small_mid,ex_2008,0.3339806351796435,110.59569786661886,-0.6423300139362991,-0.4612885558322233,1.1385138490783655,0.5199517816907819,4855
p20_30_top100,p20-30,small_mid,2008,-0.4728480139300958,-0.5421865363121007,-0.6993699734210702,,-0.8396696745099181,-0.6761056835441344,246
p20_30_top100,p20-30,small_mid,2014-2015,0.9828744904969005,2.298499200022877,-0.5347797518120485,0.3515147741845446,2.6474033844674274,1.8379052070810966,489
p20_30_top100,p20-30,small_mid,2016-2018,-0.17245376105163823,-0.47972350279392595,-0.5659943284124752,-0.4612885558322233,-0.6488567354390992,-0.3046916769207632,731
p20_30_top100,p20-30,small_mid,2022-2025,0.2509097538871292,1.0135479825396208,-0.40721540194184713,-0.30294130285017706,0.8711282157879144,0.6161597834724353,969
p30_40_top100,p30-40,mid,full_sample,0.22799514783006125,22.987978956225298,-0.6937668639676746,-0.6289359763081516,0.7364802402776246,0.328633665964024,5101
p30_40_top100,p30-40,mid,ex_2008,0.282892732348506,52.47570554374873,-0.6505357931483514,-0.476303130954701,0.9740976741863658,0.4348611334349649,4855
p30_40_top100,p30-40,mid,2008,-0.4827918606162763,-0.5514228617965466,-0.6937668639676746,,-0.852336678491002,-0.695899279269659,246
p30_40_top100,p30-40,mid,2014-2015,0.9436039718938913,2.1519898064220992,-0.530465393669258,0.4038495892516418,2.4813845209030814,1.7788228660251166,489
p30_40_top100,p30-40,mid,2016-2018,-0.1885182496576192,-0.5072400790838605,-0.5499151848058829,-0.476303130954701,-0.7178220194868791,-0.3428133189742072,731
p30_40_top100,p30-40,mid,2022-2025,0.20788133763215488,0.7849315282783396,-0.37857032780915845,-0.3186405904982951,0.7554192128857683,0.5491221111680739,969
p40_50_top100,p40-50,mid,full_sample,0.1836530384132573,11.183463875796967,-0.7043351924502759,-0.6403134791090234,0.6144914573191167,0.2607466450375085,5101
p40_50_top100,p40-50,mid,ex_2008,0.23677736446746467,27.064620266348303,-0.6359350215529683,-0.4838501975898566,0.8470689910131195,0.37232949349015054,4855
p40_50_top100,p40-50,mid,2008,-0.5031343927644278,-0.5658781854103361,-0.7043351924502762,,-0.9062696302695893,-0.7143394198635723,246
p40_50_top100,p40-50,mid,2014-2015,0.74799902988123,1.6054315439336468,-0.520747743180036,0.26008261130422294,2.0841605086553696,1.4363941844729748,489
p40_50_top100,p40-50,mid,2016-2018,-0.18917151305709845,-0.5021654645597416,-0.5418240490706563,-0.4838501975898566,-0.7691524248303842,-0.3491382735439077,731
p40_50_top100,p40-50,mid,2022-2025,0.10229326203554923,0.27761925840265156,-0.36430037786132785,-0.3393618724147558,0.3959285274266049,0.2807937302620298,969
p50_70_top100,p50-70,mid_large,full_sample,0.1669002197657401,7.873336053404506,-0.7244336903119553,-0.6606934853538287,0.5497748287753418,0.2303871589598071,5101
p50_70_top100,p50-70,mid_large,ex_2008,0.22550602961775779,21.893274455100933,-0.6760546712721447,-0.4581620985753385,0.7923901090841852,0.33356182450957533,4855
p50_70_top100,p50-70,mid_large,2008,-0.5572349674266408,-0.6124042425295155,-0.7244336903119555,,-1.000985133375533,-0.7692007907399839,246
p50_70_top100,p50-70,mid_large,2014-2015,0.7823313557451577,1.6680332202057775,-0.5068223461775115,0.37427874186118526,2.0673291015306114,1.5436007540818864,489
p50_70_top100,p50-70,mid_large,2016-2018,-0.21047133703464038,-0.5430682188700353,-0.5417181552184457,-0.4581620985753385,-0.8178586285057309,-0.3885255367706269,731
p50_70_top100,p50-70,mid_large,2022-2025,0.06458655221222687,0.11800892090936888,-0.38492848252338263,-0.33814728212565315,0.2498894555778934,0.16778844680142246,969
p70_90_top100,p70-90,large,full_sample,0.15231546722498246,6.564788645492007,-0.7293017685527833,-0.6849082068635404,0.5288053209982049,0.20885108715317563,5101
p70_90_top100,p70-90,large,ex_2008,0.21112495702754175,18.862231861302064,-0.6854943199579923,-0.4475684810219184,0.7852430612142945,0.30798936020429707,4855
p70_90_top100,p70-90,large,2008,-0.5694178231189472,-0.6191370285919062,-0.7293017685527836,,-1.055956306450422,-0.7807712083968918,246
p70_90_top100,p70-90,large,2014-2015,0.5684144227061763,1.1169437490133545,-0.5083338544440413,0.24820231476611032,1.6007358644618246,1.1181911606651584,489
p70_90_top100,p70-90,large,2016-2018,-0.1989565377778999,-0.516483794392269,-0.5081213424744686,-0.4378472583200954,-0.8369812891244859,-0.39155320028285723,731
p70_90_top100,p70-90,large,2022-2025,0.0459385277926978,0.07205454247861853,-0.37674634134648544,-0.3253161471785938,0.19882167136826046,0.12193490088985134,969
p90_100_top100,p90-100 lower-edge,large,full_sample,0.10940890539658765,3.4023046911627812,-0.7023459928889149,-0.6913044099894838,0.44322342068733744,0.1557763645045699,5101
p90_100_top100,p90-100 lower-edge,large,ex_2008,0.16451155027668096,10.20199603267201,-0.5353133096376519,-0.4354791908239619,0.7109454867058026,0.3073182514143673,4855
p90_100_top100,p90-100 lower-edge,large,2008,-0.5746167528457955,-0.6070071192381339,-0.6964142822200455,,-1.2730416773082274,-0.8251076514600174,246
p90_100_top100,p90-100 lower-edge,large,2014-2015,0.352675917428664,0.6228349184166777,-0.43263868966366403,0.17096672294336424,1.0912865222753925,0.8151742455184404,489
p90_100_top100,p90-100 lower-edge,large,2016-2018,-0.09998683373233497,-0.30542623091887355,-0.31497330182522487,-0.301520535430039,-0.4988263858006948,-0.3174454252246958,731
p90_100_top100,p90-100 lower-edge,large,2022-2025,0.011954623426956745,-0.016223122907259913,-0.31075359285865434,-0.2471538475216164,0.0665389294376123,0.0384697834608602,969
top100_largest,largest top100,mega,full_sample,0.12284671496231803,5.129369543562984,-0.6926289078934097,-0.6887220626355179,0.5364094821743431,0.17736296242088584,5101
top100_largest,largest top100,mega,ex_2008,0.18114735675185134,15.062201389936199,-0.41101408624853253,-0.36645012413620526,0.8574601278561507,0.44073272136545444,4855
top100_largest,largest top100,mega,2008,-0.5873793679754263,-0.6183979147837508,-0.6871692122760846,,-1.3025056455116968,-0.8547812641807275,246
top100_largest,largest top100,mega,2014-2015,0.370289004841303,0.700849458600914,-0.37656862217242326,0.13005639857920603,1.290535019988363,0.9833241089103676,489
top100_largest,largest top100,mega,2016-2018,-0.003014651237404853,-0.04726333751598366,-0.2531055880464893,-0.19102738556360022,-0.01828974899959333,-0.01191064670153049,731
top100_largest,largest top100,mega,2022-2025,0.03247711427400568,0.08395924426354862,-0.2181799359133566,-0.13925010625953194,0.21895179629967612,0.14885472460172947,969
p20_50_smallest100,p20-50 lower-edge,candidate_core,full_sample,0.27548622382884536,49.94820391028188,-0.6993699734210707,-0.63302069496404,0.8832619056964303,0.39390627893454466,5101
p20_50_smallest100,p20-50 lower-edge,candidate_core,ex_2008,0.3337790131662022,110.28594493458215,-0.6423300139362997,-0.4612885558322233,1.1379228970099098,0.5196378900633207,4855
p20_50_smallest100,p20-50 lower-edge,candidate_core,2008,-0.4728480139300958,-0.5421865363121007,-0.6993699734210702,,-0.8396696745099181,-0.6761056835441344,246
p20_50_smallest100,p20-50 lower-edge,candidate_core,2014-2015,0.9828744904969005,2.298499200022877,-0.5347797518120485,0.3515147741845446,2.6474033844674274,1.8379052070810966,489
p20_50_smallest100,p20-50 lower-edge,candidate_core,2016-2018,-0.17245376105163823,-0.47972350279392595,-0.5659943284124752,-0.4612885558322233,-0.6488567354390992,-0.3046916769207632,731
p20_50_smallest100,p20-50 lower-edge,candidate_core,2022-2025,0.2509097538871292,1.0135479825396208,-0.40721540194184713,-0.30294130285017706,0.8711282157879144,0.6161597834724353,969
p30_70_smallest100,p30-70 lower-edge,candidate_core,full_sample,0.2274933887270345,22.79082933853761,-0.6937668639676746,-0.6289359763081516,0.7348693497782021,0.3279104271800942,5101
p30_70_smallest100,p30-70 lower-edge,candidate_core,ex_2008,0.28234208289888363,52.03620562077595,-0.6505357931483509,-0.476303130954701,0.9722163965842294,0.43401467816621303,4855
p30_70_smallest100,p30-70 lower-edge,candidate_core,2008,-0.4827918606162763,-0.5514228617965466,-0.6937668639676746,,-0.852336678491002,-0.695899279269659,246
p30_70_smallest100,p30-70 lower-edge,candidate_core,2014-2015,0.9436039718938913,2.1519898064220992,-0.530465393669258,0.4038495892516418,2.4813845209030814,1.7788228660251166,489
p30_70_smallest100,p30-70 lower-edge,candidate_core,2016-2018,-0.1885182496576192,-0.5072400790838605,-0.5499151848058829,-0.476303130954701,-0.7178220194868791,-0.3428133189742072,731
p30_70_smallest100,p30-70 lower-edge,candidate_core,2022-2025,0.20788133763215488,0.7849315282783396,-0.37857032780915845,-0.3186405904982951,0.7554192128857683,0.5491221111680739,969
p50_100_smallest100,p50-100 lower-edge,candidate_core,full_sample,0.1669002197657401,7.873336053404506,-0.7244336903119553,-0.6606934853538287,0.5497748287753418,0.2303871589598071,5101
p50_100_smallest100,p50-100 lower-edge,candidate_core,ex_2008,0.22550602961775779,21.893274455100933,-0.6760546712721447,-0.4581620985753385,0.7923901090841852,0.33356182450957533,4855
p50_100_smallest100,p50-100 lower-edge,candidate_core,2008,-0.5572349674266408,-0.6124042425295155,-0.7244336903119555,,-1.000985133375533,-0.7692007907399839,246
p50_100_smallest100,p50-100 lower-edge,candidate_core,2014-2015,0.7823313557451577,1.6680332202057775,-0.5068223461775115,0.37427874186118526,2.0673291015306114,1.5436007540818864,489
p50_100_smallest100,p50-100 lower-edge,candidate_core,2016-2018,-0.21047133703464038,-0.5430682188700353,-0.5417181552184457,-0.4581620985753385,-0.8178586285057309,-0.3885255367706269,731
p50_100_smallest100,p50-100 lower-edge,candidate_core,2022-2025,0.06458655221222687,0.11800892090936888,-0.38492848252338263,-0.33814728212565315,0.2498894555778934,0.16778844680142246,969
