,cash_slots_BTC_ONLY_strategy,cash_slots_BTC_ONLY_buyhold,cash_slots_CORE4_strategy,cash_slots_CORE4_buyhold,cash_slots_POOL12_strategy,cash_slots_POOL12_buyhold,common_sample_BTC_ONLY_strategy,common_sample_BTC_ONLY_buyhold,common_sample_CORE4_strategy,common_sample_CORE4_buyhold,common_sample_POOL12_strategy,common_sample_POOL12_buyhold
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-02-14,-0.006981434273679921,-0.009447639930152296,-0.0065762580767837475,-0.009782263809575364,0.0,-0.0011177422392025793,-0.006981434273679921,-0.009447639930152296,,,,
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020-02-16,-0.03143983541150186,-0.04252558882328161,-0.03356040547084849,-0.05672758639154729,-0.03277594983291954,-0.055859571178620615,-0.03143983541150186,-0.04252558882328161,,,,
2020-02-17,-0.030993860023986963,-0.04192236155740903,-0.043183602557745226,-0.07389647525262644,-0.045038599426129866,-0.07516893925832391,-0.030993860023986963,-0.04192236155740903,,,,
2020-02-18,-0.04562385390608381,-0.061710922667037926,-0.0403877185213285,-0.06609287339078429,-0.04890158907690678,-0.0836091951792769,-0.04562385390608381,-0.061710922667037926,,,,
2020-02-19,-0.01283465706569098,-0.0173601846803475,-0.019962017478199034,-0.03229496155758871,-0.03302289175594397,-0.05098024450574057,-0.01283465706569098,-0.0173601846803475,,,,
2020-02-20,-0.05358208457912472,-0.07247524254763005,-0.05534661046274836,-0.09164771264379601,-0.06077309672940512,-0.10611186294860042,-0.05358208457912472,-0.07247524254763005,,,,
2020-02-21,-0.053399120317580206,-0.07222776469496439,-0.05616908167680634,-0.09564028426602,-0.06264596227873198,-0.1107777507977753,-0.053399120317580206,-0.07222776469496439,,,,
2020-02-22,-0.0476929224106597,-0.06450954916495577,-0.04991765142910465,-0.08368770339127152,-0.06037050282613654,-0.10355986419984109,-0.0476929224106597,-0.06450954916495577,,,,
2020-02-23,-0.04956544727490453,-0.06704233031333018,-0.05257534523071661,-0.091503519369171,-0.06368994038620035,-0.11381866703317,-0.04956544727490453,-0.06704233031333018,,,,
2020-02-24,-0.029157070367075044,-0.039437915927133305,-0.04017336004751659,-0.060421582568635834,-0.05765909639781919,-0.08493169622532004,-0.029157070367075044,-0.039437915927133305,,,,
2020-02-25,-0.049231680438415304,-0.06659087657428797,-0.05018968029757742,-0.0851118428117521,-0.06536829757090368,-0.11752321326137816,-0.049231680438415304,-0.06659087657428797,,,,
2020-02-26,-0.07446178885995958,-0.09936622468668921,-0.06716435803979537,-0.13403201826628408,-0.07701468388730892,-0.1625413916154077,-0.07446178885995958,-0.09936622468668921,,,,
2020-02-27,-0.07446178885995958,-0.15064827596874042,-0.08071859382719715,-0.18973282150153403,-0.0815858617509907,-0.209134696873976,-0.07446178885995958,-0.15064827596874042,,,,
2020-02-28,-0.07446178885995958,-0.14704727987038357,-0.08071859382719715,-0.17947367200772046,-0.0815858617509907,-0.18859938140082455,-0.07446178885995958,-0.14704727987038357,,,,
2020-02-29,-0.07446178885995958,-0.15985135861474287,-0.08071859382719715,-0.18569565090736873,-0.0815858617509907,-0.1875486844515023,-0.07446178885995958,-0.15985135861474287,,,,
2020-03-01,-0.07446178885995958,-0.17601378915660326,-0.08071859382719715,-0.1974611792093396,-0.0815858617509907,-0.20333045964181629,-0.07446178885995958,-0.17601378915660326,,,,
