policy,policy_label,challenger,challenger_label,benchmark,benchmark_label,samples,cagr_win_rate,sharpe_win_rate,mdd_win_rate,calmar_win_rate,avg_cagr_diff,avg_sharpe_diff,avg_mdd_diff,avg_calmar_diff
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,BTC_ONLY,BTC only,53,0.4528301886792453,0.7169811320754716,0.7169811320754716,0.660377358490566,0.042326849178258616,0.3752946221988974,0.044802049201876595,1.0795525489089943
cash_slots,Cash slots,POOL12_DROP_LTC_AAVE,12 coin pool,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,53,0.49056603773584906,0.7924528301886793,0.8679245283018868,0.5660377358490566,-0.05537608812538694,0.15480919528231765,0.022746860971543853,-0.019306083289821745
cash_slots,Cash slots,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BTC_ONLY,BTC only,53,0.41509433962264153,0.5471698113207547,0.6415094339622641,0.4716981132075472,0.09770293730364556,0.22048542691657977,0.02205518823033275,1.0988586321988163
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,BTC_ONLY,BTC only,45,0.35555555555555557,0.6666666666666666,0.6666666666666666,0.6,-0.0026598217476804095,0.23270959668008717,0.029188405512329377,0.31769427669839323
common_sample,Common sample,POOL12_DROP_LTC_AAVE,12 coin pool,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,45,0.5777777777777777,0.7555555555555555,0.8444444444444444,0.6666666666666666,-0.00047989888433268567,0.15182031125287654,0.022778009365396097,0.1720889396279119
common_sample,Common sample,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BTC_ONLY,BTC only,48,0.3541666666666667,0.5,0.6041666666666666,0.4166666666666667,0.030548309145894053,0.12650032860304075,0.012105545736905338,0.4289706444355863
dynamic_eligible,Dynamic eligible,POOL12_DROP_LTC_AAVE,12 coin pool,BTC_ONLY,BTC only,53,0.4528301886792453,0.7169811320754716,0.7169811320754716,0.660377358490566,0.06183163563142992,0.3758345646643407,0.0441495179162248,1.1755634249058065
dynamic_eligible,Dynamic eligible,POOL12_DROP_LTC_AAVE,12 coin pool,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,53,0.49056603773584906,0.7924528301886793,0.8679245283018868,0.5660377358490566,-0.049180818208091434,0.1494384941488113,0.022094329685892065,-0.01191554435579162
dynamic_eligible,Dynamic eligible,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BTC_ONLY,BTC only,53,0.41509433962264153,0.5471698113207547,0.6415094339622641,0.4716981132075472,0.11101245383952137,0.22639607051552943,0.02205518823033274,1.1874789692615981
