scope,mode,start,end,data_start,avg_exposure,turnover,cagr,sharpe,mdd,calmar,vol,final
BTCUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.3342542649762889,37.85002204863353,0.3802777338423915,1.2282071566851032,-0.2677827040140419,1.4200981920865605,0.29831737878965126,7.845761035462981
BTCUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.3342542649762889,37.85002204863353,0.36813595255863074,1.1967017953312713,-0.2747523684792006,1.3398827263849393,0.2989511917184359,7.414952368417968
ETHUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.2588018567746398,31.043195173863335,0.40149495413223657,1.1287166726155013,-0.3137770720551456,1.2795547855124187,0.35420843276047886,8.649300468839233
ETHUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.2588018567746398,31.043195173863335,0.3916471503610206,1.1072613846963386,-0.3178406740807863,1.2322121814449547,0.3549475534051427,8.268119981764958
SOLUSDT,gross,2020-01-01,2026-05-22,2020-08-11,0.15619082775533863,18.856688454223082,0.4516440113401792,1.2388532789659432,-0.4246051911200849,1.0636799096797838,0.3497627672259097,10.828653426185612
SOLUSDT,net_cost_model,2020-01-01,2026-05-22,2020-08-11,0.15619082775533863,18.856688454223082,0.4454415457291163,1.225452615611542,-0.42964999207335997,1.0367544604843377,0.3502321752650085,10.536305155466788
XRPUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.18459210995243613,39.85098095723205,0.3128036644017982,0.7959813941280174,-0.6355481428690714,0.4921793382790807,0.47488000886916526,5.695175200047198
XRPUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.18459210995243613,39.85098095723205,0.3009363599232018,0.7763301260007606,-0.6479198879771508,0.4644653845442917,0.47571210396234864,5.37402449691957
DOGEUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.14747808787590852,31.28106612725984,0.20235420781017255,0.5858220781769425,-0.5945454192746873,0.34035113424477065,0.5110012267150735,3.24750430788613
DOGEUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.14747808787590852,31.28106612725984,0.19349911831426647,0.5713024570135427,-0.6008749367028441,0.32202893896032025,0.5116948226872627,3.0976335650125426
