scope,trades,win_rate,avg_days,avg_weight,best_trade,worst_trade
BTCUSDT,24,0.5416666666666666,38.666666666666664,0.7869802028031113,1.7317390434260558,-0.12269798011282185
ETHUSDT,22,0.5909090909090909,38.63636363636363,0.6939017530818347,2.8336653644148924,-0.18610895331306954
SOLUSDT,17,0.5882352941176471,36.529411764705884,0.5228165974541371,4.210446023525633,-0.18681528419284654
XRPUSDT,27,0.4074074074074074,21.22222222222222,0.7359168366244397,2.5591434398368453,-0.19913271710601388
DOGEUSDT,27,0.3333333333333333,18.925925925925927,0.5802233589462359,2.797298533566528,-0.3066678787327849
BNBUSDT,27,0.5185185185185185,32.111111111111114,0.7841454903837614,6.59378930086113,-0.1218791064388961
TRXUSDT,27,0.7407407407407407,32.925925925925924,0.8096820654344138,0.869232172168521,-0.2201877390195851
ADAUSDT,15,0.6,43.13333333333333,0.5124291986905132,5.264750616247967,-0.2442290748898679
LINKUSDT,20,0.6,36.1,0.4957758778165978,4.066293081346371,-0.20406536468712644
AVAXUSDT,15,0.4666666666666667,28.6,0.47527910618839614,9.372273593562504,-0.3934163092387444
NEARUSDT,18,0.5,25.333333333333332,0.43510339796939657,1.018991486574984,-0.30079475285845125
LTCUSDT,28,0.35714285714285715,22.392857142857142,0.6306779328817214,0.3698494453248813,-0.2508385459160548
AAVEUSDT,22,0.2727272727272727,29.681818181818183,0.502372367636545,6.603202407419883,-0.30302049622437977
UNIUSDT,15,0.4666666666666667,37.06666666666667,0.42952719994295613,4.85373099551465,-0.4153671461014383
