symbol,final_equity,cagr,calmar,avg_exposure,trade_count
BTCUSDT,7.845761035462981,0.3802777338423915,1.4200981920865605,0.3342542649762889,24
ETHUSDT,8.649300468839233,0.40149495413223657,1.2795547855124187,0.2588018567746398,22
SOLUSDT,10.828653426185612,0.4516440113401792,1.0636799096797838,0.15619082775533863,17
XRPUSDT,5.695175200047198,0.3128036644017982,0.4921793382790807,0.18459210995243613,27
DOGEUSDT,3.24750430788613,0.20235420781017255,0.34035113424477065,0.14747808787590852,27
BNBUSDT,12.6268457556637,0.48695764516310636,1.0785682571044284,0.2981539987039398,27
TRXUSDT,7.876193365801322,0.38111398233823635,0.9673139468316114,0.32984725117064206,27
ADAUSDT,19.76822335824395,0.5949803299595375,1.6169923445059482,0.1767441197125717,15
LINKUSDT,4.636975572588241,0.2712560995305846,0.6452874705044593,0.16417296686055055,20
AVAXUSDT,14.985154702311553,0.5273314091890604,1.6188209933413058,0.09705441729476673,15
NEARUSDT,3.5053118199288864,0.2168106089719226,0.5008620940331586,0.10331015912291047,18
LTCUSDT,0.563855784391186,-0.08573938679068904,-0.14088173493324221,0.1767663549449776,28
AAVEUSDT,1.4415597801568656,0.05888675388570075,0.09724892645079336,0.15300356282456895,22
UNIUSDT,4.110962319980846,0.2475329519330538,0.7164191507001496,0.12936617676077122,15
