side,date,price,signal,usdt,btc,kind
BUY,2020-01-01,7200.85,0.7747368158919286,16666.666666666668,2.313384299538712,init
BUY,2020-01-06,7758.0,0.7751181637823886,500.00000000000006,0.0644173756122712,weekly
BUY,2020-01-13,8110.34,0.7971068250659578,500.00000000000006,0.06161887171191344,weekly
BUY,2020-01-20,8642.35,0.8452091468009603,500.00000000000006,0.05782570712826952,weekly
BUY,2020-01-27,8907.57,0.8852836757774012,166.66666666666669,0.01870132183449957,weekly
BUY,2020-02-03,9292.24,0.947613590792233,166.66666666666669,0.01792714494388149,weekly
BUY,2020-03-16,5028.97,0.9768829839991597,166.66666666666669,0.033124741912028376,weekly
BUY,2020-03-23,6467.31,0.8769625140574668,166.66666666666669,0.02575774678086149,weekly
BUY,2020-03-30,6394.38,0.8118171605215176,750.0000000000001,0.11723185046869283,weekly
BUY,2020-04-06,7329.9,0.7658937954347637,750.0000000000001,0.10226947161625673,weekly
BUY,2020-04-13,6837.91,0.7746946478844046,750.0000000000001,0.10962779562761138,weekly
BUY,2020-04-20,6826.83,0.8260326415129263,750.0000000000001,0.10980572242168035,weekly
BUY,2020-04-27,7774.62,0.8595555186220109,250.00000000000003,0.032139834487087474,weekly
BUY,2020-05-04,8871.96,0.9258792933716758,166.66666666666669,0.018776384624517396,weekly
BUY,2020-05-11,8561.52,0.992583721236807,166.66666666666669,0.019457214762487657,weekly
SELL,2020-11-30,19695.87,1.526258209436082,1526.6832388670125,0.07755163708676929,weekly
SELL,2020-12-07,19166.9,1.5871746619198848,1411.3971976098612,0.07367405523243083,weekly
SELL,2020-12-14,19273.14,1.6070921414617567,1348.2593948883439,0.0699903524708093,weekly
SELL,2020-12-21,22719.71,1.6519507739954344,1509.8971591451484,0.06649083484726884,weekly
SELL,2020-12-28,27079.41,1.7169307516745664,1709.6506961933221,0.06316629310490539,weekly
SELL,2021-01-04,31988.71,1.8494295632291373,3837.2360628045412,0.12001595689932021,weekly
SELL,2021-01-11,35404.47,2.0906373799123137,5733.418673102167,0.1620215418140823,weekly
SELL,2021-01-18,36631.27,2.2541189247267215,10084.548438196087,0.2754366210839399,weekly
SELL,2021-01-25,32254.2,2.305301295485199,6215.682108883612,0.19280563475875795,weekly
SELL,2021-02-01,33526.37,2.266484191216084,4522.588708737734,0.13496394433113057,weekly
SELL,2021-02-08,46374.87,2.160270516774752,4379.064133749827,0.09447476103179141,weekly
SELL,2021-02-15,47911.1,2.1538190730342337,3166.8885698860395,0.06613233272225401,weekly
SELL,2021-02-22,54087.67,2.2470247754352397,2502.608721702019,0.046292632905577794,weekly
SELL,2021-03-01,49587.03,2.3110690045691076,1606.0564937056788,0.03240484303390448,weekly
SELL,2021-03-08,52375.17,2.3383939941839813,1187.452390699889,0.022683390123733105,weekly
SELL,2021-03-15,55605.2,2.325454691900757,882.478651100165,0.015878373086613176,weekly
SELL,2021-03-22,54083.25,2.2514818507720378,600.8272509581668,0.011114861160629208,weekly
SELL,2021-03-29,57635.47,2.1472861985001575,298.80197286525527,0.005186935208293608,weekly
SELL,2021-04-05,59129.99,2.116840719634872,367.86009034026057,0.0062243222499523305,weekly
SELL,2021-04-12,59860.0,2.0338491113823407,130.3405725710223,0.002178512787483322,weekly
