strategy,label,ann_return,cost_stress_10bps_ann_return,cost_stress_30bps_ann_return,cumulative_return,max_drawdown,worst_12m,worst_12m_ex_2008,max_drawdown_ex_2008,2016_2018_ann_return,2016_2018_max_drawdown,2022_2025_ann_return,ann_vol,buy_attempts,buy_failed,buy_fail_rate,sell_attempts,sell_failed,sell_fail_rate,suspended_position_days,forced_state_pnl,forced_state_pnl_share,median_amount_20d,median_float_market_cap,turnover,avg_rebalance_turnover,median_target_count,median_valid_rpe_candidates,median_holdings,median_cash_slots
baseline_size_10_50_top100,baseline: size 10%-50% smallest float mcap top100,0.3072190705431266,0.29561871586455446,0.27272471618524974,80.19416675979525,-0.6696619614956734,-0.5935958099734019,-0.4531635687626596,-0.5674669462437444,-0.15782751758811864,-0.5674669462437434,0.24660303630996427,0.3168372496804406,9353,272,0.02908157810328237,10186,1205,0.1182996269389358,20761,-0.12712477944108594,-0.023429798228483276,34549557.887499996,1298140871.0700002,8.923003332679867,0.719601593625498,100.0,634.0,100.0,0.0
rpe_top100,RPE top100 inside size 10%-50%,0.26225830663504457,0.2564968028567207,0.2450522591699873,42.0842573036419,-0.6904923090740019,-0.616081657372714,-0.48025679555630185,-0.5836504868658253,-0.16317214866458152,-0.5470114324492097,0.17216379904170465,0.3050534697379987,4777,93,0.01946828553485451,5444,859,0.15778839088905217,16523,0.010292405777997518,0.002182164081578386,41413246.49625,2527309907.895,4.579078612036856,0.3692828685258964,100.0,634.0,100.0,0.0
size_controlled_rpe_top100,"size-controlled RPE top100, 25 names per size bucket",0.27980552554286686,0.2731728834081608,0.2600101377797277,55.562853328647236,-0.6864616060456945,-0.6060463654898982,-0.4668892394217373,-0.5574838846126374,-0.1438171066225713,-0.5240219504943777,0.18999445645858648,0.3062297519871893,5419,105,0.01937626868425909,6080,866,0.1424342105263158,16474,0.03669186573228411,0.007343767876936829,40449771.682,2358421225.08,5.201050774357969,0.4194422310756972,100.0,634.0,100.0,0.0
