strategy,window,start_date,end_date,ann_return,cumulative_return,max_drawdown,worst_12m,observations,sell_failed_holding_pnl,suspended_holding_pnl,forced_state_pnl,forced_state_pnl_share,suspended_position_days
baseline_size_10_50_top100,full_sample,2005-01-01,2025-12-31,0.3072190705431266,80.19416675979525,-0.6696619614956734,-0.5935958099734019,5101,-0.16411857246528502,0.03699379302419909,-0.12712477944108594,-0.023429798228483276,20761
baseline_size_10_50_top100,max_drawdown_window,2008-01-15,2008-11-04,-0.7143287713598142,-0.6652254286359331,-0.6696619614956731,,196,-0.04136331794295078,-0.031125624420940228,-0.072488942363891,0.07457173788340257,1043
baseline_size_10_50_top100,worst_12m_window,2007-10-17,2008-10-27,-0.5352901600337425,-0.5935958099734019,-0.6587923952354411,-0.5935958099734019,252,-0.03693575801537303,-0.027810135589607213,-0.06474589360498025,0.08461546561827767,1371
baseline_size_10_50_top100,ex_2008,2005-01-01,2025-12-31,0.36007563146069455,154.89096292226267,-0.5674669462437438,-0.4531635687626596,4855,-0.11901497488699125,0.0636927607087571,-0.05532221417823416,-0.009331334976354553,19609
baseline_size_10_50_top100,2016-2018,2016-01-01,2018-12-31,-0.15782751758811864,-0.46296989452564463,-0.5674669462437434,-0.4531635687626596,731,-0.18748257900404178,0.008665052010596922,-0.17881752699344486,0.35899866405260256,4633
baseline_size_10_50_top100,2022-2025,2022-01-01,2025-12-31,0.24660303630996427,0.9515720625009461,-0.43944585907514344,-0.3397737548347387,969,-0.012747501648596435,0.00930234179681919,-0.0034451598517772457,-0.004062942705962921,138
rpe_top100,full_sample,2005-01-01,2025-12-31,0.26225830663504457,42.0842573036419,-0.6904923090740019,-0.616081657372714,5101,-0.10414086201910264,0.11443326779710015,0.010292405777997518,0.002182164081578386,16523
rpe_top100,max_drawdown_window,2008-01-15,2008-11-04,-0.7279209328301013,-0.6810576626039433,-0.690492309074002,,196,-0.028706701184210752,-0.03168419326304833,-0.060390894447259084,0.05980516179588597,516
rpe_top100,worst_12m_window,2007-10-17,2008-10-27,-0.5559526017494095,-0.616081657372714,-0.6766716060852742,-0.616081657372714,252,-0.028029261988231663,-0.023922628730902697,-0.051951890719134364,0.06409716851494006,752
rpe_top100,ex_2008,2005-01-01,2025-12-31,0.31621842362567043,89.42736922145141,-0.5836504868658254,-0.48025679555630185,4855,-0.08007332610651369,0.1340215559096614,0.0539482298031477,0.010185768401106432,15858
rpe_top100,2016-2018,2016-01-01,2018-12-31,-0.16317214866458152,-0.4624697063305889,-0.5470114324492097,-0.48025679555630185,731,-0.09928044077362849,-0.0007067964938992661,-0.09998723726752776,0.1935652199286093,5189
rpe_top100,2022-2025,2022-01-01,2025-12-31,0.17216379904170465,0.6011267771378053,-0.33860294683587155,-0.28682305327068836,969,-0.01258441771948982,-0.0037380502074010617,-0.016322467926890884,-0.02671373037346782,76
size_controlled_rpe_top100,full_sample,2005-01-01,2025-12-31,0.27980552554286686,55.562853328647236,-0.6864616060456945,-0.6060463654898982,5101,-0.07590816115532917,0.11260002688761328,0.03669186573228411,0.007343767876936829,16474
size_controlled_rpe_top100,max_drawdown_window,2008-01-15,2008-11-04,-0.723050198977656,-0.6764434121202382,-0.6864616060456944,,196,-0.02729112515112863,-0.02629539772192803,-0.05358652287305666,0.05379826799843327,405
size_controlled_rpe_top100,worst_12m_window,2007-10-17,2008-10-27,-0.544430307899691,-0.6060463654898982,-0.672411540484741,-0.6060463654898982,252,-0.02650663878689609,-0.017983607274001293,-0.04449024606089738,0.05667681437741361,587
size_controlled_rpe_top100,ex_2008,2005-01-01,2025-12-31,0.3330282044148807,113.56825324332023,-0.5574838846126384,-0.4668892394217373,4855,-0.050951266845064014,0.12588627930807433,0.07493501246301032,0.013523254544899431,15927
size_controlled_rpe_top100,2016-2018,2016-01-01,2018-12-31,-0.1438171066225713,-0.4253837584018084,-0.5240219504943777,-0.4668892394217373,731,-0.07572531459325998,0.00765691468257344,-0.06806839991068654,0.15117201555442156,5418
size_controlled_rpe_top100,2022-2025,2022-01-01,2025-12-31,0.18999445645858648,0.691153752046318,-0.35173811486673945,-0.2932883342299365,969,-0.002455774252981109,-0.0008537337813840752,-0.0033095080343651844,-0.004946172344332265,82
