date,strategy,daily_return,entry_pnl,sell_open_pnl,normal_holding_pnl,sell_failed_holding_pnl,suspended_holding_pnl,turnover_rate,holdings,cash_slots,return_events,suspended_positions,is_rebalance,bought,buy_failed,sold,sell_failed,label
2005-01-04,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-05,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-06,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-07,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-10,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-11,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-12,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-13,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-14,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-17,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-18,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-19,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-20,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-21,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-24,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-25,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-26,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-27,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-28,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-01-31,baseline_size_10_50_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-02-01,baseline_size_10_50_top100,-0.013470064084529332,-0.013470064084529332,0.0,0.0,0.0,0.0,0.99,99,1,99,0,True,99,1,0,0,baseline: size 10%-50% smallest float mcap top100
2005-02-02,baseline_size_10_50_top100,0.058710672759033515,0.0,0.0,0.058710672759033515,0.0,0.0,0.0,99,1,99,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-02-03,baseline_size_10_50_top100,-0.025928547533143158,0.0,0.0,-0.025928547533143158,0.0,0.0,0.0,99,1,97,2,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-02-04,baseline_size_10_50_top100,0.016675817657594717,0.0,0.0,0.017492164987394962,0.0,-0.0008163473298002443,0.0,99,1,99,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-02-16,baseline_size_10_50_top100,0.012918259051584724,0.0,0.0,0.012918259051584724,0.0,0.0,0.0,99,1,98,1,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
2005-02-17,baseline_size_10_50_top100,0.008050795815656531,0.0,0.0,0.007812700577561294,0.0,0.00023809523809523725,0.0,99,1,99,0,False,0,0,0,0,baseline: size 10%-50% smallest float mcap top100
