date,strategy,daily_return,entry_pnl,sell_open_pnl,normal_holding_pnl,sell_failed_holding_pnl,suspended_holding_pnl,turnover_rate,holdings,cash_slots,return_events,suspended_positions,is_rebalance,bought,buy_failed,sold,sell_failed
2005-01-04,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-05,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-06,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-07,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-10,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-11,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-12,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-13,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-14,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-17,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-18,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-19,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-20,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-21,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-24,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-25,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-26,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-27,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-28,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-01-31,size_05_30_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,False,0,0,0,0
2005-02-01,size_05_30_top100,-0.011830196414245448,-0.011830196414245448,0.0,0.0,0.0,0.0,0.99,99,1,99,0,True,99,1,0,0
2005-02-02,size_05_30_top100,0.059410156730483304,0.0,0.0,0.059410156730483304,0.0,0.0,0.0,99,1,99,0,False,0,0,0,0
2005-02-03,size_05_30_top100,-0.0269474859057343,0.0,0.0,-0.0269474859057343,0.0,0.0,0.0,99,1,97,2,False,0,0,0,0
2005-02-04,size_05_30_top100,0.015539110332334348,0.0,0.0,0.015882844501236913,0.0,-0.0003437341689025653,0.0,99,1,99,0,False,0,0,0,0
2005-02-16,size_05_30_top100,0.012148099610963756,0.0,0.0,0.012148099610963756,0.0,0.0,0.0,99,1,97,2,False,0,0,0,0
2005-02-17,size_05_30_top100,0.008630803766480556,0.0,0.0,0.008211713053272196,0.0,0.0004190907132083588,0.0,99,1,99,0,False,0,0,0,0
2005-02-18,size_05_30_top100,-0.011431697328289437,0.0,0.0,-0.011431697328289437,0.0,0.0,0.0,99,1,98,1,False,0,0,0,0
2005-02-21,size_05_30_top100,0.021878323609098985,0.0,0.0,0.021803696743427345,0.0,7.46268656716409e-05,0.0,99,1,99,0,False,0,0,0,0
2005-02-22,size_05_30_top100,0.03364076237336687,0.0,0.0,0.03364076237336687,0.0,0.0,0.0,99,1,99,0,False,0,0,0,0
2005-02-23,size_05_30_top100,0.01763942292060519,0.0,0.0,0.01763942292060519,0.0,0.0,0.0,99,1,99,0,False,0,0,0,0
2005-02-24,size_05_30_top100,0.0018024793181739473,0.0,0.0,0.0018024793181739473,0.0,0.0,0.0,99,1,99,0,False,0,0,0,0
2005-02-25,size_05_30_top100,-0.003517620128562118,0.0,0.0,-0.003517620128562118,0.0,0.0,0.0,99,1,98,1,False,0,0,0,0
2005-02-28,size_05_30_top100,-0.0026930412925985727,0.0,0.0,-0.002504362047315554,0.0,-0.00018867924528301883,0.0,99,1,97,2,False,0,0,0,0
2005-03-01,size_05_30_top100,0.000867061262221812,-0.0005886996604492523,-0.0001955299448411396,0.001651290867512204,0.0,0.0,0.35,98,2,115,1,True,17,2,18,0
2005-03-02,size_05_30_top100,-0.013686519403182934,0.0,0.0,-0.013686519403182934,0.0,0.0,0.0,98,2,97,1,False,0,0,0,0
2005-03-03,size_05_30_top100,0.004483595486747208,0.0,0.0,0.004483595486747208,0.0,0.0,0.0,98,2,97,1,False,0,0,0,0
2005-03-04,size_05_30_top100,-0.008021824066581478,0.0,0.0,-0.008021824066581478,0.0,0.0,0.0,98,2,96,2,False,0,0,0,0
2005-03-07,size_05_30_top100,-0.0014371448413116538,0.0,0.0,-0.0014371448413116538,0.0,0.0,0.0,98,2,97,1,False,0,0,0,0
