strategy,ann_return,cumulative_return,max_drawdown,worst_12m_return,ann_vol,daily_mean,cost_stress_10bps_ann_return,cost_stress_30bps_ann_return,total_simple_pnl,entry_pnl_total,sell_open_pnl_total,normal_holding_pnl_total,sell_failed_holding_pnl_total,suspended_holding_pnl_total,forced_state_pnl_share,rebalance_count,median_holdings,median_cash_slots,buy_attempts,buy_failed,buy_fail_rate,sell_attempts,sell_failed,sell_fail_rate,suspended_position_days
size_05_30_top100,0.31089442993360805,82.29234661451483,-0.6772768424371058,-0.5890891020247206,0.3216252891261643,0.0010748219503013134,0.3018777226943308,0.2840292118748762,5.482666768486999,0.3085987757794404,0.11147619208246966,5.158453333206463,-0.12003295819665442,0.024171425615280788,-0.01748447181440277,251,100.0,0.0,7265,222,0.030557467309015828,8518,1575,0.18490255928621743,29960
size_10_50_top100,0.3072190705431266,80.19416675979525,-0.6696619614956734,-0.5935958099734019,0.3168372496804406,0.0010636686036191337,0.29561871586455446,0.27272471618524974,5.4257735470612,0.3902604198308493,0.09653391966847394,5.066103987002963,-0.16411857246528502,0.03699379302419909,-0.023429798228483276,251,100.0,0.0,9353,272,0.02908157810328237,10186,1205,0.1182996269389358,20761
