start,end,days,years,final_value,cagr,ann_vol,sharpe,mdd,calmar,worst_12m,period_total_return,strategy,label,period,gold_total_return
2015-02-02,2015-12-31,224,0.8888888888888888,0.9992822105260015,-0.0008074769241337432,0.10105794748405383,-0.007990236732852275,-0.10590727688631218,-0.0076243762267680796,,-0.0007177894739984758,fallback_gold_0,失败权益100%转国债,2015 黄金弱市,-0.07462686567164134
2016-01-04,2018-12-28,731,2.9007936507936507,1.12526814361151,0.041524895653697325,0.04301292027239763,0.9654051710677454,-0.05499346597395138,0.7550878075836558,-0.007282433221064921,0.12526814361150995,fallback_gold_0,失败权益100%转国债,2016-2018 修复/震荡,0.2661290322580616
2019-01-02,2020-12-31,487,1.9325396825396826,1.1287827591887913,0.06469063613405845,0.06927139691467232,0.9338722620787279,-0.09764267306226704,0.6625242233260558,0.019068204822563883,0.12878275918879134,fallback_gold_0,失败权益100%转国债,2019-2020 黄金牛市,0.36234961075725525
2021-01-04,2021-12-31,243,0.9642857142857143,1.0412883684792087,0.04284988029825265,0.05399587586209196,0.7935769096086762,-0.042139473405173766,1.016858466318463,,0.04128836847920869,fallback_gold_0,失败权益100%转国债,2021 黄金弱市,-0.05376623376623335
2022-01-04,2023-12-29,484,1.9206349206349207,1.1048781955074283,0.053300104239113466,0.029818264232401272,1.787498555371853,-0.021917246542185076,2.4318795765026615,0.014296649185817856,0.10487819550742827,fallback_gold_0,失败权益100%转国债,2022-2023 修复期,0.27587153444962786
2024-01-02,2026-05-15,570,2.261904761904762,1.3585543555887563,0.14507531006524044,0.06361189331013105,2.2806318522535665,-0.06505075044264808,2.2301865709165942,0.08800626829172109,0.35855435558875626,fallback_gold_0,失败权益100%转国债,2024-2026 黄金强牛,1.0555077452667851
2015-02-02,2015-12-31,224,0.8888888888888888,0.9984755894760774,-0.0017147983725954719,0.10128814529258738,-0.016929901990425395,-0.10590727688631218,-0.016191506599081466,,-0.0015244105239226036,fallback_gold_10,失败权益90%国债/10%黄金,2015 黄金弱市,-0.07462686567164134
2016-01-04,2018-12-28,731,2.9007936507936507,1.129432173600859,0.04285193823760802,0.044028639933432465,0.9732741756819308,-0.05660279264988277,0.7570640286720336,-0.007325191351322813,0.129432173600859,fallback_gold_10,失败权益90%国债/10%黄金,2016-2018 修复/震荡,0.2661290322580616
2019-01-02,2020-12-31,487,1.9325396825396826,1.1313785303760837,0.06595685942724971,0.06971210601028706,0.9461320737823757,-0.09764267306226704,0.6754921527515825,0.020453653355166246,0.1313785303760837,fallback_gold_10,失败权益90%国债/10%黄金,2019-2020 黄金牛市,0.36234961075725525
2021-01-04,2021-12-31,243,0.9642857142857143,1.0406080990550095,0.0421433663477091,0.054389750749455394,0.7748402183683676,-0.042139473405173766,1.0000923823251873,,0.040608099055009506,fallback_gold_10,失败权益90%国债/10%黄金,2021 黄金弱市,-0.05376623376623335
