comparison,base,test,test_cagr,test_mdd,test_calmar,delta_cagr,mdd_improvement,delta_calmar
静态防守仓：短融替代国债,静态核心-国债仓,静态核心-短融仓,0.0746503811389525,-0.16184052161782547,0.46125890100152983,-0.002862157853219305,-0.0014035371751466297,-0.021874955331114
权益开关：短融只做fallback,权益开关-国债fallback,权益开关-短融fallback,0.10004269998682624,-0.06509175847402748,1.5369487986216361,-0.0020083299542814625,-4.1008031379297094e-05,-0.03184217222320784
权益开关：短融替代防守仓,权益开关-国债fallback,权益开关-短融防守仓,0.09689777884996209,-0.06517468493656231,1.4867395054426027,-0.005153251091145616,-0.00012393449391412403,-0.08205146540224129
固定Gate：短融只做fallback,固定Gate-国债fallback,固定Gate-短融fallback,0.08790317128213343,-0.08164586752810199,1.0766395647872529,-0.00013907029898363454,-4.942045086331337e-05,-0.0023564544607033167
固定Gate：短融替代防守仓,固定Gate-国债fallback,固定Gate-短融防守仓,0.0860724345290318,-0.0816957541120833,1.053572923887132,-0.0019698070520852706,-9.930703484462011e-05,-0.0254230953608241
双动量：短融fallback,双动量-国债fallback,双动量-短融fallback,0.08288177869743096,-0.08169575411208307,1.0145175792577998,-0.0026179690013281576,-9.9307034844065e-05,-0.03331907002455492
