normalization,normalization_label,challenger,label,benchmark,windows,cagr_win_rate,sharpe_win_rate,mdd_win_rate,calmar_win_rate,avg_cagr_diff,avg_sharpe_diff,avg_mdd_diff,avg_calmar_diff
raw,Raw,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BTC_ONLY,53,0.41509433962264153,0.5471698113207547,0.6415094339622641,0.4716981132075472,0.09770293730364556,0.22048542691657977,0.02205518823033275,1.0988586321988163
raw,Raw,POOL12_DROP_LTC_AAVE,12 coin pool,BTC_ONLY,53,0.4528301886792453,0.7169811320754716,0.7169811320754716,0.660377358490566,0.042326849178258616,0.3752946221988974,0.044802049201876595,1.0795525489089943
same_exposure,Same exposure,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BTC_ONLY,53,0.5471698113207547,0.5471698113207547,0.2830188679245283,0.4716981132075472,0.1290105671078526,0.2204854269165797,-0.019453185120212126,0.981675537953371
same_exposure,Same exposure,POOL12_DROP_LTC_AAVE,12 coin pool,BTC_ONLY,53,0.8301886792452831,0.7169811320754716,0.20754716981132076,0.6792452830188679,0.22003813382232915,0.3752946221988975,-0.043739131053162704,1.1847721482978013
same_vol,Same vol,CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,BTC_ONLY,53,0.49056603773584906,0.5471698113207547,0.6226415094339622,0.4716981132075472,0.11367228784167363,0.22048542691657982,-0.004695271319614558,1.0069082857979288
same_vol,Same vol,POOL12_DROP_LTC_AAVE,12 coin pool,BTC_ONLY,53,0.6981132075471698,0.7169811320754716,0.2830188679245283,0.6792452830188679,0.16734612027925738,0.3752946221988975,-0.01631163382705833,1.1527489946174383
