pool,label,n_symbols,symbols,target_exposure,target_vol,raw_avg_exposure,raw_vol,raw_scale,same_exposure_scale,same_vol_scale
BTC_ONLY,BTC only,1,BTCUSDT,0.19833051974673038,0.21380161227373926,0.3342542649762889,0.29831737878965126,1.0,0.5933522486565711,0.7166917768625691
CORE4_BTC_ETH_SOL_BNB,BTC/ETH/SOL/BNB,4,"BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT",0.19833051974673038,0.21380161227373926,0.26185023705255184,0.26013180457058166,1.0,0.7574196685066455,0.8218972402343382
POOL12_DROP_LTC_AAVE,12 coin pool,12,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, UNIUSDT",0.19833051974673038,0.21380161227373926,0.19833051974673038,0.21380161227373926,1.0,1.0,1.0
