pool,n_symbols,avg_exposure,symbols,mode,cagr,sharpe,mdd,calmar,vol,final,removed_a,removed_b,removed_pair,is_ltc_aave_pair,delta_cagr,delta_sharpe,delta_mdd,delta_calmar,delta_final,rank_by_calmar,rank_by_cagr,rank_by_sharpe
ETHUSDT+XRPUSDT,12,0.18886184900026962,"BTCUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3634431424216562,1.6065370337581382,-0.21679212877402532,1.6764591245860847,0.2061487318036091,7.253880531785138,ETHUSDT,XRPUSDT,ETHUSDT+XRPUSDT,False,-0.010383700324888778,-0.01671686201421818,0.03282869748975903,0.17888038349375623,-0.360438991508639,14,53,35
XRPUSDT+UNIUSDT,12,0.19964815566809196,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT",gross,0.37460855899254786,1.6153536015782963,-0.224218588644851,1.6707292702921508,0.21067437123453292,7.642055045950409,XRPUSDT,UNIUSDT,XRPUSDT+UNIUSDT,False,0.0007817162460028726,-0.00790029419406002,0.025402237618933343,0.17315052919982232,0.027735522656631595,15,36,32
DOGEUSDT+BNBUSDT,12,0.18867533901253855,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.36064343625394657,1.5865465667731045,-0.21769661416512687,1.6566331894367081,0.20767118268167764,7.1591992522758705,DOGEUSDT,BNBUSDT,DOGEUSDT+BNBUSDT,False,-0.013183406492598415,-0.03670732899925189,0.03192421209865748,0.15905444834437965,-0.45512027101790675,16,60,45
ETHUSDT+AAVEUSDT,12,0.19149422792759185,"BTCUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.39271203114890696,1.6694594030082839,-0.23733945583732619,1.65464283957099,0.21181465494761423,8.308642504881458,ETHUSDT,AAVEUSDT,ETHUSDT+AAVEUSDT,False,0.018885188402361974,0.046205507235927534,0.01228137042645816,0.15706409847866154,0.694322981587681,17,20,19
SOLUSDT+LTCUSDT,12,0.19806491433583293,"BTCUSDT, ETHUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.4041654836738351,1.6822961636614522,-0.24466274174038338,1.6519290219624176,0.21554409042153877,8.755186863359945,SOLUSDT,LTCUSDT,SOLUSDT+LTCUSDT,False,0.030338640927290106,0.059042267889095834,0.004958084523400963,0.15435028087008917,1.1408673400661682,18,11,14
AAVEUSDT+UNIUSDT,12,0.20228053459541426,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT",gross,0.40386113877086194,1.6710139756069307,-0.24461157116596466,1.6510303942116018,0.21708017103487764,8.743064668147863,AAVEUSDT,UNIUSDT,AAVEUSDT+UNIUSDT,False,0.030034296024316953,0.04776007983457431,0.005009255097819687,0.15345165311927333,1.1287451448540855,19,13,18
SOLUSDT+XRPUSDT,12,0.19741276808521135,"BTCUSDT, ETHUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3578128792361781,1.5463176827124896,-0.21710927304807082,1.6480773677361706,0.2123713603567942,7.064536561390878,SOLUSDT,XRPUSDT,SOLUSDT+XRPUSDT,False,-0.01601396351036688,-0.07693621305986675,0.03251155321571353,0.15049862664384217,-0.5497829619028991,20,67,67
XRPUSDT+BNBUSDT,12,0.1855825038394946,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3523700796774978,1.5717674282341358,-0.21419813063524418,1.6450660826613153,0.20545449357879636,6.885477224054668,XRPUSDT,BNBUSDT,XRPUSDT+BNBUSDT,False,-0.021456763069047202,-0.051486467538220504,0.03542269562854017,0.1474873415689868,-0.7288422992391093,21,75,51
LTCUSDT+UNIUSDT,12,0.20030030191871354,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT",gross,0.42151235748312765,1.7506927311101481,-0.25630334715121117,1.6445838970430933,0.2139318935145658,9.469970099580841,LTCUSDT,UNIUSDT,LTCUSDT+UNIUSDT,False,0.04768551473658267,0.12743883533779177,-0.006682520887426824,0.1470051559507648,1.855650576287064,22,3,6
ETHUSDT+LTCUSDT,12,0.18951399525089113,"BTCUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.4098627713693421,1.741570032823241,-0.24928263731608102,1.6441689472726957,0.20981124606689466,8.984743489325965,ETHUSDT,LTCUSDT,ETHUSDT+LTCUSDT,False,0.03603592862279714,0.11831613705088473,0.00033818894770332175,0.14659020618036722,1.3704239660321873,23,8,7
