start,end,days,years,final_value,cagr,ann_vol,sharpe,mdd,calmar,worst_12m,scenario,combo,strategy,label,etf_weight,corr_to_cb,delta_cagr_vs_cb,mdd_improvement_vs_cb,delta_vol_vs_cb
2017-02-14,2026-04-30,2238,8.880952380952381,4.549044375802816,0.18599310531193347,0.16528946871101485,1.1252568403926326,-0.1875621257861686,0.9916346625542947,-0.10790126170932424,close_30bps_filter5,cb_final,cb_final,可转债最终版top12_keep37,0.0,1.0,0.0,0.0,0.0
2017-02-14,2026-04-30,2238,8.880952380952381,3.975691585569074,0.16813810215228764,0.13966880786718036,1.2038343043078057,-0.1660590105573828,1.012520197416125,-0.11271138025810679,close_30bps_filter5,close_30bps_filter5_static_core_20,static_core,静态300/标普/国债/黄金,0.2,0.3449266532094404,-0.017855003159645833,0.021503115228785785,-0.025620660843834492
2017-02-14,2026-04-30,2238,8.880952380952381,3.7042768466657376,0.15887424715770315,0.12790626486159518,1.242114663653245,-0.1583539407985891,1.0032857177818886,-0.11557747872812807,close_30bps_filter5,close_30bps_filter5_static_core_30,static_core,静态300/标普/国债/黄金,0.3,0.3449266532094404,-0.02711885815423032,0.02920818498757949,-0.03738320384941968
2017-02-14,2026-04-30,2238,8.880952380952381,4.0222581845977725,0.16967077744344317,0.14085294847319116,1.2045951418314609,-0.1757660378706266,0.9653217396203134,-0.13017541938745225,close_30bps_filter5,close_30bps_filter5_static_nasdaq_20,static_nasdaq,静态300/纳指/国债/黄金,0.2,0.3197587113905897,-0.016322327868490305,0.011796087915541986,-0.024436520237823695
2017-02-14,2026-04-30,2238,8.880952380952381,3.768081673292164,0.16110489386770066,0.13013126315529772,1.238018366696704,-0.17893017963274305,0.9003785398213479,-0.14186477841189116,close_30bps_filter5,close_30bps_filter5_static_nasdaq_30,static_nasdaq,静态300/纳指/国债/黄金,0.3,0.3197587113905897,-0.02488821144423281,0.008631946153425551,-0.03515820555571714
2017-02-14,2026-04-30,2238,8.880952380952381,3.898558256196636,0.16556396032732312,0.13793720960912048,1.2002849760154635,-0.16103671904199024,1.028113099374264,-0.10667973383946538,close_30bps_filter5,close_30bps_filter5_static_equity40_20,static_equity40,静态核心-权益40%,0.2,0.3399326651114698,-0.020429144984610348,0.02652540674417836,-0.02735225910189437
2017-02-14,2026-04-30,2238,8.880952380952381,3.5973973504362213,0.1550601296294689,0.1249550937843398,1.2409268396619944,-0.15065494613444952,1.0292402181810085,-0.10645710071992531,close_30bps_filter5,close_30bps_filter5_static_equity40_30,static_equity40,静态核心-权益40%,0.3,0.3399326651114698,-0.03093297568246456,0.03690717965171908,-0.04033437492667505
2017-02-14,2026-04-30,2238,8.880952380952381,3.809475101914274,0.16253416819811983,0.1366033002733231,1.1898260720854685,-0.14272090501715262,1.1388252350178552,-0.0905485809327018,close_30bps_filter5,close_30bps_filter5_champ_fixed_gate_20,champ_fixed_gate,固定预算6M Gate,0.2,0.28690696383726666,-0.023458937113813638,0.04484122076901598,-0.028686168437691756
2017-02-14,2026-04-30,2238,8.880952380952381,3.4743804175023656,0.1505436019938231,0.12285301564977744,1.2253960653516593,-0.12261348452185372,1.2277899333901674,-0.08204841820720532,close_30bps_filter5,close_30bps_filter5_champ_fixed_gate_30,champ_fixed_gate,固定预算6M Gate,0.3,0.28690696383726666,-0.035449503318110365,0.06494864126431488,-0.04243645306123742
2017-02-14,2026-04-30,2238,8.880952380952381,3.802723910849376,0.16230199975472748,0.13620462032666353,1.1916042155212785,-0.14272090501715262,1.1371985045584005,-0.09054858093270224,close_30bps_filter5,close_30bps_filter5_champ_vol_target_20,champ_vol_target,固定Gate+8%目标波动,0.2,0.2809588202014628,-0.023691105557205994,0.04484122076901598,-0.029084848384351325
