strategy,label,family,cagr_delta_vs_static_equity40,mdd_improvement_vs_static_equity40,worst3y_cagr_delta,worst3y_mdd_improvement,low_risk_win,high_return_win,rolling_win,status
static_core,静态300/标普/国债/黄金,静态基准,0.010673070695527365,-0.04200327054499631,-0.010331132028454038,-0.04200327054499564,False,False,False,基准
static_nasdaq,静态300/纳指/国债/黄金,静态基准,0.019114828994060806,-0.13363420831991002,-0.0426939229854022,-0.13363420831990902,False,False,False,基准
champ_fixed_gate,固定预算6M Gate,半静态风控,-0.010710077040541943,0.02797108843822016,0.006706912559543365,0.02797108843822116,False,False,True,观察
champ_vol_target,固定Gate+8%目标波动,半静态风控,-0.01011787816985632,0.05438358986877112,0.0046645468668633505,0.05438358986877212,False,False,True,观察
overlay_inverse_vol,逆波预算Gate,风险预算,-0.01396445076924957,0.06826447344173225,0.01271336476164564,0.06826447344173314,False,False,True,观察
challenger_equity_switch,权益风险开关,轮动/风控,-0.00789091446434731,0.05452970755636544,0.011945294486271352,0.05452970755636721,True,False,True,晋级
challenger_class_rotation,权益类内轮动,轮动/风控,-0.00081553115656674,-0.03166791157100324,0.01416376731193647,-0.03166791157100213,False,False,False,观察
challenger_dual_momentum,双动量Top2,轮动/风控,-0.009983205191628652,0.028865844589596623,0.013290635764914405,0.028865844589597955,False,False,True,观察
