strategy,year,ann_return,cumulative_return,max_drawdown,worst_12m,observations
baseline_size_10_50_top100,2005,-0.03239925721916914,-0.0726668606249199,-0.3639146416637581,,242
baseline_size_10_50_top100,2006,0.5908217975979742,0.5070446552039982,-0.14726898295064905,,241
baseline_size_10_50_top100,2007,2.716533956629801,2.232960179401883,-0.35292280536752274,,242
baseline_size_10_50_top100,2008,-0.40289866430554544,-0.47916052837338385,-0.6696619614956727,,246
baseline_size_10_50_top100,2009,2.0908980148963536,1.799240772382042,-0.20430577830647623,,244
baseline_size_10_50_top100,2010,0.30251617277064424,0.2397675919881337,-0.2761490426891263,,242
baseline_size_10_50_top100,2011,-0.2324382642971412,-0.2501317258057866,-0.31532107145006993,,244
baseline_size_10_50_top100,2012,0.019580896951991944,-0.018071679023340725,-0.3001285425556851,,243
baseline_size_10_50_top100,2013,0.5685566804553184,0.4844209343174979,-0.16517916058173332,,238
baseline_size_10_50_top100,2014,0.6737435397442306,0.6114161268443563,-0.12276610194665705,,245
baseline_size_10_50_top100,2015,1.9207530537388058,1.572278735885615,-0.44789728882930324,,244
baseline_size_10_50_top100,2016,0.08747595059619173,0.024471758308799663,-0.2460171544558285,,244
baseline_size_10_50_top100,2017,-0.24251338019431823,-0.251517919145254,-0.29183930904858646,,244
baseline_size_10_50_top100,2018,-0.27547183316523194,-0.29964661122880953,-0.3814538820744403,,243
baseline_size_10_50_top100,2019,0.3305480051332226,0.2753313313845531,-0.1711377231464909,,244
baseline_size_10_50_top100,2020,0.29173864262822224,0.23895179790159293,-0.15196279395810208,,243
baseline_size_10_50_top100,2021,0.36446614980068603,0.3251648700091174,-0.15901174764263093,,243
baseline_size_10_50_top100,2022,0.042680519643988335,0.004974059942573383,-0.27628175548896927,,242
baseline_size_10_50_top100,2023,0.3209491521903014,0.2875688413517443,-0.10275153839635842,,242
baseline_size_10_50_top100,2024,0.060868961269306965,-0.041036534105700295,-0.43358832209048426,,242
baseline_size_10_50_top100,2025,0.6503995878161672,0.5727410412753924,-0.15915536769777106,,243
rpe_top100,2005,0.0,0.0,0.0,,242
rpe_top100,2006,0.6863797482074372,0.5958345799090321,-0.14019927242569608,,241
rpe_top100,2007,2.7209032911641837,2.2256160648399628,-0.31482232406208466,,242
rpe_top100,2008,-0.4482555790163033,-0.5235484823391143,-0.6904923090740022,,246
rpe_top100,2009,1.963756191168284,1.6748071591345255,-0.21472257524374827,,244
rpe_top100,2010,0.2714258921705863,0.211295974598384,-0.26894804543717243,,242
rpe_top100,2011,-0.21318021709354118,-0.23048552757317842,-0.3376665827433306,,244
rpe_top100,2012,0.15141261012982254,0.10501811926372961,-0.2812926156715786,,243
rpe_top100,2013,0.3521166639215123,0.29750859433193244,-0.17702944671950682,,238
rpe_top100,2014,0.5530034411717379,0.5082653427043686,-0.08498007731924262,,245
rpe_top100,2015,1.5563959578299786,1.195061213586376,-0.4959358663606718,,244
rpe_top100,2016,0.0602289276806558,0.008023759524335095,-0.2589247102516111,,244
rpe_top100,2017,-0.2063354032458885,-0.21422150481857039,-0.24842633244320833,,244
rpe_top100,2018,-0.3042339604271781,-0.3213715897711782,-0.4003213062445746,,243
rpe_top100,2019,0.3242174503705235,0.26813712349989105,-0.2644891007864505,,244
rpe_top100,2020,0.15599101879331312,0.11736800669287506,-0.17139068976331384,,243
rpe_top100,2021,0.2455810264626963,0.21715157126504248,-0.15014832027706226,,243
rpe_top100,2022,-0.0011731756913833102,-0.03393792086299352,-0.2906644854556434,,242
rpe_top100,2023,0.19639021080520092,0.17326259338964145,-0.11712586149531135,,242
rpe_top100,2024,0.15958338122582094,0.07273746026301775,-0.3307339857327276,,242
rpe_top100,2025,0.3613748834992543,0.3168369815211389,-0.1448209480783902,,243
size_controlled_rpe_top100,2005,0.0,0.0,0.0,,242
size_controlled_rpe_top100,2006,0.6984323074033845,0.6069712965179932,-0.13400523166086953,,241
size_controlled_rpe_top100,2007,2.7149018601017474,2.2126442624976757,-0.3224442192629724,,242
size_controlled_rpe_top100,2008,-0.4280925955049524,-0.5062955772877273,-0.6864616060456943,,246
size_controlled_rpe_top100,2009,1.9997117716523496,1.7066041026016405,-0.21318482082944712,,244
size_controlled_rpe_top100,2010,0.31359906361917655,0.24962284075113073,-0.2670186648358338,,242
size_controlled_rpe_top100,2011,-0.19661976222518263,-0.21450434884853176,-0.3281749193465676,,244
size_controlled_rpe_top100,2012,0.12711433145154682,0.08248690763304345,-0.2859019889835557,,243
size_controlled_rpe_top100,2013,0.37865844027544227,0.32126219535884437,-0.17555039542930395,,238
size_controlled_rpe_top100,2014,0.5669648448063438,0.5210117581218234,-0.08095765012049738,,245
size_controlled_rpe_top100,2015,1.5893241319376972,1.2186133132471064,-0.49542497689262577,,244
size_controlled_rpe_top100,2016,0.06221126803966426,0.01080382409589542,-0.256998115120607,,244
size_controlled_rpe_top100,2017,-0.18154532466232765,-0.19043570967795675,-0.22941677137201066,,244
size_controlled_rpe_top100,2018,-0.27868997933173145,-0.2978018553530697,-0.3904594134761097,,243
size_controlled_rpe_top100,2019,0.31053967327673915,0.2554727995758037,-0.26765745778085737,,244
size_controlled_rpe_top100,2020,0.20353330235375666,0.16084368392227089,-0.17022175508714776,,243
size_controlled_rpe_top100,2021,0.25087379550521693,0.22201959368830648,-0.15115772056673815,,243
size_controlled_rpe_top100,2022,0.03563085392145093,-0.00044640711738064276,-0.2935666507851721,,242
size_controlled_rpe_top100,2023,0.20234781766998644,0.17886588055055097,-0.10789435393765534,,242
size_controlled_rpe_top100,2024,0.18102004676245098,0.0890077073674247,-0.34063897536517307,,242
size_controlled_rpe_top100,2025,0.362735160466499,0.31789756994658225,-0.14774557867437477,,243
