strategy,rows,future_coverage,median_future_profit_yoy,median_future_revenue_yoy,median_future_roe_parent,median_future_cfo_to_profit,median_future_debt_ratio,median_future_goodwill_to_equity,share_profit_down_30,share_future_profit_negative,share_revenue_negative
baseline_size_10_50_top100,25100.0,0.9328685258964143,0.01303417853715505,0.10046664476376321,0.054978,0.9113706698482459,0.388341,0.00045622243680715007,0.2548605577689243,0.13864541832669322,0.29023904382470117
rpe_top100,23900.0,0.965857740585774,-0.1761351130768361,0.05737109123456707,0.071203,1.0936381933069348,0.4501219999999999,0.0012980497693678018,0.40577405857740584,0.09698744769874477,0.3704602510460251
size_controlled_rpe_top100,23900.0,0.965857740585774,-0.17392556813616267,0.05762606500993561,0.071203,1.0726058694287737,0.446978,0.0012686167773977106,0.40292887029288704,0.09778242677824268,0.3702510460251046
