rpe_quintile,avg_names,median_rpe_score,median_current_pe,median_reference_pe,median_float_market_cap,median_amount_20d,median_pb,median_ps,next_buy_fail_rate,next_sell_blocked_rate,next_no_bar_rate
Q1_low,144.57681996287894,-0.7608528659621856,95.03570266155921,38.663239204878,2437171253.97,54356790.32775,2.724943,2.9158795,0.02734899091188232,0.018741418700243376,0.006303952049534185
Q2,143.97339657661374,-0.224132943322436,51.09443538579324,40.26132702982332,2434677300.0,52216282.5,2.652872,2.917025,0.023195134707762237,0.01616139230014731,0.005742041994542067
Q3,143.97442771705505,-0.011537110067297324,37.85228463160824,37.593586044403985,2458455599.45,42502407.965,2.415674,2.565659,0.019210434297305182,0.013920674724348879,0.0052876538168871645
Q4,143.97339657661374,0.16495441926648055,30.750831238262524,40.098298414962045,2502363138.945,38830224.15,2.363036,2.4837815,0.017579529511123185,0.013027936641268016,0.004810997191218881
Q5_high,144.37471643637863,0.5424978500212434,25.847107929325194,53.94850172461363,2553272441.0950003,41001411.03925,2.345828,2.1977945,0.01853192311883132,0.013403273239719715,0.005186488756103694
