regime,rank_ic_mean,rank_ic_median,rank_ic_positive_rate,observations
2005-2013,0.017304559347507933,0.018939577187670434,0.5901554404145077,1930
2014-2015,0.017460606723370926,0.017120706955005904,0.5644171779141104,489
2016-2018,0.014414268016366572,0.013214610391088458,0.5745554035567716,731
2019-2021,0.016124299270737066,0.0115456815261823,0.5767123287671233,730
2022-2025,0.017919155416944856,0.014591736177647729,0.5830753353973168,969
