exposure,daily_rank_corr_mean,daily_rank_corr_median,observations
size_score,-0.015099014736841223,-0.016831952533882446,4849
log_float_market_cap,0.015099014736841223,0.016831952533882446,4849
log_amount_20d,-0.1207356443272867,-0.12361677383853409,4849
pb_vendor,-0.06397716961912187,-0.05923152940234933,4849
pe_ttm_vendor,-0.3198101262330497,-0.31579072010449283,4849
ps_ttm_vendor,-0.10964725692508527,-0.10412545068845039,4849
